	ERCC_expect_level	ECd1	ECd2	ECd3	ECd4	ECd5	ECd6	ECd7	ECd8	ECt1	ECt2	ECt3	ECt4	ECt5	ECt6	ECt7	ECt8	CCd1	CCd2	CCd3	CCd4	CCd5	CCd6	CCd7	CCd8	CCt1	CCt2	CCt3	CCt4	CCt5	CCt6	CCt7	CCt8
ERCC-00002	3010.5	159	138	125	61	109	128	71	89	120	53	86	93	122	68	84	71	132	81	51	103	86	87	109	121	103	33	38	45	23	67	36	93
ERCC-00003	188.15625	15	13	18	10	22	23	11	9	15	8	4	10	13	6	11	6	18	7	5	6	7	24	17	11	26	3	6	3	11	6	8	13
ERCC-00004	1505.25	86	104	79	51	109	100	76	73	77	33	62	80	80	43	66	47	88	64	39	70	62	67	56	87	101	32	22	42	29	53	21	79
ERCC-00009	188.15625	5	12	9	2	12	6	10	2	9	2	5	10	11	11	9	7	6	5	7	11	9	6	16	11	14	3	1	2	8	8	4	12
ERCC-00019	5.879882813	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00022	47.0390625	5	4	4	0	1	5	1	2	5	2	1	2	1	2	4	5	3	0	1	5	1	7	3	2	3	1	0	0	1	0	2	1
ERCC-00025	11.75976563	0	2	0	1	2	1	1	0	0	0	0	0	0	0	1	1	2	0	2	2	0	2	0	0	2	0	0	0	0	3	1	0
ERCC-00034	1.469970703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ERCC-00035	23.51953125	3	1	2	0	0	0	0	1	0	1	1	0	3	0	1	2	4	0	0	3	1	0	0	1	1	2	0	0	0	0	1	0
ERCC-00042	94.078125	1	2	4	2	1	7	0	0	7	1	0	3	3	1	2	0	4	4	0	4	0	1	3	2	3	4	0	0	0	1	1	2
ERCC-00043	94.078125	4	13	2	1	3	4	5	5	4	3	5	4	3	8	6	1	9	4	8	5	4	4	4	15	7	3	2	1	4	6	6	2
ERCC-00044	23.51953125	0	2	1	1	0	2	1	1	1	0	0	0	2	0	0	1	1	1	1	1	1	0	1	0	0	0	1	0	1	0	0	1
ERCC-00046	752.625	77	73	45	41	72	54	41	61	45	20	34	51	44	22	50	33	61	33	35	55	41	41	47	52	48	24	17	18	21	38	18	52
ERCC-00051	11.75976563	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0
ERCC-00053	5.879882813	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0
ERCC-00054	2.939941406	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ERCC-00059	2.939941406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0
ERCC-00060	47.0390625	7	18	13	9	17	6	11	12	5	3	6	8	2	7	2	3	14	4	3	11	7	5	7	13	6	2	2	4	0	7	2	5
ERCC-00062	11.75976563	1	1	0	0	1	0	0	1	0	0	0	3	1	0	0	0	1	0	0	1	1	1	2	0	0	0	0	1	2	0	0	1
ERCC-00071	11.75976563	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00074	3010.5	256	198	209	170	235	272	211	227	216	114	167	192	204	149	171	168	172	211	105	203	131	171	188	167	148	101	99	117	92	168	92	173
ERCC-00076	47.0390625	0	0	1	2	0	2	0	0	4	0	0	2	1	0	1	0	2	1	0	2	2	0	3	2	0	1	1	2	1	2	0	0
ERCC-00078	5.879882813	1	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ERCC-00079	11.75976563	1	0	3	0	4	0	2	4	5	4	1	1	2	4	3	0	3	9	0	4	0	0	2	4	1	5	0	0	1	0	1	0
ERCC-00084	5.879882813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2
ERCC-00085	1.469970703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00092	47.0390625	6	12	7	3	8	9	4	4	4	4	3	4	5	4	3	5	6	3	1	9	2	3	12	3	6	0	0	6	1	5	5	5
ERCC-00095	23.51953125	3	4	5	2	1	3	0	5	0	2	2	1	0	2	4	5	1	1	1	1	0	1	5	3	1	1	2	4	1	1	1	0
ERCC-00096	3010.5	224	168	164	143	179	212	154	166	144	73	89	128	136	94	109	107	162	132	73	162	104	106	119	161	160	50	57	52	58	82	47	154
ERCC-00099	2.939941406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ERCC-00108	188.15625	15	11	5	2	8	4	5	5	6	3	3	2	5	9	6	18	7	2	4	15	5	2	6	5	4	2	0	2	2	6	1	6
ERCC-00111	94.078125	1	2	4	2	2	2	2	2	2	0	1	1	8	1	1	1	2	2	1	2	1	0	0	4	0	0	2	0	1	1	0	1
ERCC-00112	23.51953125	2	1	3	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
ERCC-00113	752.625	32	30	24	20	37	32	17	26	30	20	22	30	32	8	24	12	33	24	15	23	15	25	26	30	32	8	8	8	9	10	7	30
ERCC-00116	94.078125	3	4	0	0	4	0	2	0	0	0	0	2	0	0	0	0	3	1	1	2	2	0	1	1	2	2	0	0	0	2	1	0
ERCC-00126	2.939941406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00130	6021	132	124	120	50	98	116	94	72	70	37	45	87	62	65	63	68	95	60	33	105	79	71	79	82	106	18	28	31	24	44	51	87
ERCC-00131	23.51953125	2	1	3	0	4	1	0	0	3	0	1	1	3	1	0	0	4	2	1	3	0	3	2	3	4	0	1	0	0	0	0	1
ERCC-00136	376.3125	25	23	14	7	13	18	14	11	8	10	6	12	17	11	9	15	12	10	8	14	12	7	16	14	21	8	6	3	7	7	7	16
ERCC-00144	5.879882813	6	1	1	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	1	0	0
ERCC-00145	188.15625	9	7	5	8	6	7	1	3	0	2	4	10	4	9	2	2	4	8	5	10	3	10	8	9	15	1	1	2	0	4	4	6
ERCC-00148	2.939941406	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00154	1.469970703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00157	1.469970703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
ERCC-00160	1.469970703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0
ERCC-00162	11.75976563	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1
ERCC-00163	2.939941406	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
